zip disease count
91963 HYP 0
95436 CAN 9
92656 HTD 27
92281 HTD 4
93615 NEP 1
94511 STK 2
93463 SUI 1
91423 ALZ 18
90706 CAN 120
92124 HTD 20
93561 NEP 0
96017 HTD 1
92263 STK 1
91801 NEP 0
90631 ALZ 14
95004 HTD 5
95350 CLD 32
91762 LIV 2
94066 OTH 35
94804 STK 11
95360 ALZ 1
93451 HYP 3
92649 CAN 74
92251 ALZ 1
91214 DIA 7
96143 STK 1
92026 OTH 61
95255 CAN 9
92101 OTH 50
96091 SUI 0
93635 STK 9
95005 HYP 0
91706 NEP 7
93465 ALZ 2
95346 HYP 0
92677 CAN 103
96088 HYP 0
92315 LIV 0
93720 CLD 20
95454 CLD 0
92324 HTD 69
95519 OTH 40
95901 DIA 7
91381 ALZ 2
95225 CLD 0
92075 SUI 2
94590 CLD 23
92020 NEP 2
90274 INJ 3
95338 HOM 0
93426 HYP 0
95492 STK 7
93648 SUI 2
95054 HYP 0
94607 LIV 1
95501 HTD 57
95405 ALZ 6
93224 PNF 0
90270 CAN 16
94603 OTH 59
93501 NEP 0
92128 STK 41
93212 ALZ 0
91030 DIA 7
93643 CLD 4
92285 HYP 0
93212 CLD 2
92123 LIV 7
94110 SUI 5
95326 PNF 4
95215 ALZ 3
95834 HYP 0
91604 CLD 7
92268 HTD 1
93212 ALZ 3
90640 INJ 17
92408 HOM 0
95468 DIA 0
95830 OTH 0
93240 HOM 0
92680 STK 2
90010 SUI 0
92284 NEP 5
92008 CLD 22
95969 HOM 0
92544 LIV 12
96020 CLD 4
91913 STK 6
95919 LIV 0
92840 CLD 20
92701 INJ 15
95248 LIV 0
92670 NEP 0
91203 INJ 4
95987 HTD 8
94089 OTH 19
95527 DIA 0
90822 ALZ 0
96041 HTD 6
92386 SUI 1
95131 HTD 14
93727 PNF 11
95008 LIV 0
92124 LIV 1
95220 HYP 3
94121 PNF 17
95124 CAN 82
92670 DIA 0
95242 ALZ 9
95014 PNF 9
93648 HTD 10
90265 HTD 28
93257 STK 39
95623 CLD 1
93215 CAN 41
91042 HTD 44
90248 HOM 4
95138 HTD 7
92376 ALZ 4
95233 LIV 0
92254 HYP 0
95456 HTD 4
90059 HTD 67
92680 SUI 1
95204 INJ 13
95634 SUI 1
95065 LIV 3
93648 PNF 2
95319 ALZ 0
92069 HTD 55
94608 CAN 52
95020 CLD 16
93111 CAN 30
90045 PNF 11
95765 HYP 0
92543 ALZ 15
93004 LIV 5
95485 HOM 0
95128 HTD 57
91030 HYP 2
91106 SUI 0
95467 HYP 0
95213 PNF 0
95117 PNF 6
96073 HYP 0
96104 HYP 1
94952 OTH 47
93550 NEP 4
94043 SUI 2
94956 HTD 4
95823 SUI 4
91763 HOM 0
92320 CAN 28
95012 SUI 0
95237 LIV 1
90270 PNF 3
95673 SUI 3
94619 INJ 6
94534 SUI 1
94061 LIV 12
94549 HOM 0
92071 CLD 22
92867 STK 13
95519 HYP 0
90803 HOM 0
93060 CAN 36
92688 CLD 6
90701 SUI 1
95113 SUI 0
95922 STK 1
93286 LIV 1
92821 HYP 1
92405 HTD 34
92655 HYP 1
93704 OTH 45
91935 DIA 2
96007 SUI 2
92631 CAN 3
90056 CAN 20
92282 ALZ 0
93962 LIV 0
95527 HOM 0
94539 ALZ 3
95467 NEP 0
93257 SUI 1
95912 CLD 1
96107 INJ 0
93270 LIV 0
93723 STK 0
94108 PNF 6
90001 CAN 53
90670 HOM 0
95670 ALZ 13
92675 STK 18
94531 SUI 1
92843 NEP 0
93427 INJ 2
92392 CAN 61
92262 ALZ 14
90601 LIV 2
95692 NEP 0
91367 HOM 2
96116 ALZ 0
92315 INJ 2
95916 ALZ 0
93308 STK 19
96055 NEP 0
95459 LIV 0
95132 HTD 47
91762 STK 17
91709 STK 14
96038 SUI 1
95974 INJ 1
92662 HOM 0
95991 OTH 92
94590 SUI 9
92040 HYP 0
95202 HYP 1
95835 ALZ 1
95683 CLD 4
95045 SUI 1
94710 DIA 1
95966 DIA 8
92320 HOM 0
94928 CLD 10
92311 OTH 53
92322 HYP 0
95453 CLD 6
93703 OTH 54
95838 NEP 0
93242 STK 1
92273 STK 0
90066 HOM 0
95525 HTD 1
96151 OTH 0
90002 HOM 15
95336 CLD 18
94089 LIV 0
91107 CLD 15
94305 PNF 0
90293 OTH 8
94578 SUI 0
95368 OTH 10
95366 CLD 5
94956 PNF 0
94528 INJ 2
95511 INJ 0
93409 DIA 0
92701 OTH 36
94544 CAN 82
95822 HTD 116
95570 LIV 1
93514 OTH 18
93286 NEP 1
90012 PNF 13
90278 HOM 0
95660 STK 16
95688 SUI 2
95391 NEP 0
92887 HYP 0
93635 NEP 1
90073 SUI 1
91601 CAN 38
92358 STK 1
96038 NEP 0
90804 HOM 0
92315 SUI 4
95323 INJ 1
90047 STK 37
91355 CLD 8
90064 HOM 0
96023 LIV 0
92083 SUI 5
94558 LIV 9
92393 PNF 0
90023 OTH 28
90067 CLD 1
92370 NEP 0
94041 HYP 1
95445 HOM 0
93221 DIA 3
92398 HOM 0
94601 CAN 60
94131 CAN 55
93561 HTD 58
96158 OTH 4
95962 ALZ 0
95454 PNF 0
95431 HYP 0
92507 HOM 0
90031 HTD 76
94402 LIV 2
90039 CLD 7
96150 HOM 0
95073 HTD 14
93668 CAN 3
92316 SUI 0
93614 DIA 0
91719 ALZ 0
91354 CLD 2
92371 SUI 3
95316 LIV 1
92026 HTD 91
95033 CLD 2
95688 STK 9
95685 PNF 2
93235 CLD 3
93631 PNF 6
91010 NEP 2
94559 SUI 4
92801 HTD 98
93035 PNF 5
92131 PNF 5
90716 INJ 8
93065 OTH 59
95012 HTD 15
94618 CLD 4
95546 CLD 3
93205 LIV 1
93409 NEP 0
94602 LIV 2
94111 STK 2
93668 CAN 1
94544 HTD 82
95134 HOM 0
95642 CAN 30
95968 PNF 0
94571 LIV 1
92705 NEP 0
95404 CAN 77
91352 HOM 6
92026 LIV 5
91335 STK 20
92595 DIA 5
95321 CLD 1
90007 OTH 28
92647 PNF 16
95383 STK 0
95615 DIA 1
93242 CLD 0
93241 STK 3
91752 CLD 13
92116 HYP 3
90501 SUI 5
93907 HTD 20
95382 HYP 0
93267 CLD 1
94510 ALZ 7
91101 ALZ 3
95148 NEP 0
92285 HYP 0
92602 SUI 0
92705 NEP 0
93932 SUI 0
93449 PNF 2
91765 ALZ 9
95833 HYP 4
95345 STK 1
95030 SUI 3
95315 DIA 0
93611 HYP 4
94923 DIA 0
92011 HYP 1
95134 NEP 0
90023 SUI 0
95223 INJ 1
95669 CAN 6
93446 DIA 6
92606 OTH 10
95374 OTH 1
93926 HTD 6
94939 HOM 0
94063 SUI 0
92651 CLD 13
92625 NEP 0
95918 OTH 0
92154 HOM 3
94028 ALZ 2
95612 NEP 0
95982 HTD 8
91769 LIV 1
95030 SUI 0
91016 DIA 8
93286 OTH 15
94928 HTD 72
92633 OTH 1
95110 HOM 0
90037 ALZ 1
92273 DIA 0
93432 HTD 3
92313 HOM 1
90266 OTH 36
90401 INJ 2
93650 DIA 2
95641 NEP 0
92173 SUI 0
95815 NEP 0
95045 OTH 5
93402 CLD 4
91501 CLD 9
92372 LIV 2
90018 CLD 12
92626 STK 23
96158 NEP 0
93656 INJ 2
92395 INJ 8
92398 HYP 0
90010 LIV 0
93427 HOM 0
91720 SUI 4
92025 CAN 79
95407 DIA 6
92595 HTD 44
91765 HOM 0
92091 OTH 2
92543 HTD 212
94949 HTD 20
95301 HOM 1
91773 HYP 4
95421 SUI 0
95490 STK 11
93527 SUI 1
95112 PNF 8
96003 HYP 8
95943 LIV 0
92105 CAN 98
92091 CLD 0
90001 HTD 77
91913 INJ 9
95472 HTD 84
95825 STK 29
92407 HOM 10
92382 SUI 1
94539 CLD 5
95363 HOM 4
95703 NEP 0
95655 CAN 5
94803 OTH 44
90232 DIA 2
94014 PNF 15
95117 OTH 29
95231 HYP 2
94523 DIA 7
94931 HOM 0
90035 CAN 56
95459 INJ 0
92626 OTH 54
95469 HOM 0
90405 CAN 54
92086 NEP 0
92549 PNF 1
95560 NEP 0
92606 ALZ 3
91007 NEP 3
94089 INJ 3
95828 HTD 82
94401 DIA 5
91755 NEP 6
93526 INJ 0
93013 INJ 5
94131 CLD 7
92075 PNF 4
93291 OTH 52
92220 OTH 49
93637 HYP 0
91915 HYP 0
92236 CLD 4
94525 PNF 2
91311 DIA 9
93562 HOM 0
95031 INJ 0
92358 LIV 0
95631 OTH 5
95690 LIV 1
92614 SUI 2
95948 HTD 29
90043 HYP 10
94957 HTD 2
94506 DIA 2
93501 HOM 0
93441 NEP 0
90040 INJ 5
93285 NEP 0
93060 HTD 51
95222 NEP 0
95620 SUI 0
93258 NEP 0
91367 LIV 2
95765 CAN 29
92860 STK 6
94530 STK 36
93702 PNF 5
90602 CAN 22
95722 SUI 0
92345 PNF 9
90016 STK 38
96021 SUI 2
94595 STK 57
92056 SUI 3
92672 ALZ 7
93280 LIV 0
94501 DIA 8
94965 CAN 22
94585 STK 8
94117 HYP 1
91010 CAN 39
95567 INJ 5
92648 ALZ 16
93543 LIV 4
92370 INJ 1
96044 INJ 0
95453 DIA 2
94949 HTD 24
91326 HOM 0
93905 OTH 44
90710 NEP 5
93309 HTD 160
94124 LIV 8
91724 PNF 1
92377 CLD 8
95747 SUI 1
95073 STK 3
93271 PNF 1
95377 INJ 2
91301 HYP 3
92227 STK 10
93241 PNF 0
94502 ALZ 6
95961 HYP 1
90017 DIA 3
92227 HTD 32
95014 INJ 6
96161 OTH 20
91501 STK 11
92003 PNF 0
96073 SUI 1
92374 HOM 0
93921 LIV 1
93424 PNF 0
95935 HOM 0
95307 PNF 6
93227 DIA 0
92091 DIA 0
94938 OTH 2
90033 DIA 15
93926 INJ 2
91324 NEP 4
95449 CLD 2
95635 CAN 1
95987 HOM 2
94117 LIV 1
94041 CAN 14
91030 HOM 0
92372 DIA 2
95305 HYP 0
95662 OTH 75
91752 ALZ 8
94519 OTH 36
95864 HYP 0
95030 CAN 27
90010 OTH 4
91344 HYP 7
93309 NEP 0
92680 INJ 0
93306 CAN 96
96041 OTH 7
90024 PNF 17
95219 HYP 1
90604 OTH 36
93238 NEP 0
92128 SUI 11
95462 INJ 0
91024 INJ 3
93544 INJ 0
94108 INJ 3
90301 INJ 3
94556 HTD 25
94065 HYP 0
92004 HYP 2
96027 PNF 0
95345 OTH 1
92641 CLD 1
92342 LIV 0
91732 DIA 12
94523 LIV 4
95616 DIA 4
92083 STK 26
91604 CLD 10
93616 INJ 0
94303 DIA 8
92321 SUI 0
94703 STK 5
94525 LIV 0
92883 NEP 0
95403 ALZ 24
93266 STK 0
95206 DIA 29
93430 HTD 11
94502 HTD 20
96055 HYP 0
95991 ALZ 3
92129 PNF 1
95066 PNF 1
92231 HTD 37
92702 STK 0
92627 HOM 0
93535 HOM 9
92069 HOM 1
94597 PNF 1
90670 OTH 20
92507 HTD 64
92173 HTD 31
95439 SUI 0
96143 CLD 1
92886 CAN 57
92548 CAN 20
94931 SUI 1
94112 OTH 131
90003 HOM 31
92705 HTD 76
95139 PNF 2
92553 NEP 0
93245 INJ 7
93265 STK 4
92518 STK 1
90401 HOM 0
92283 STK 0
96007 INJ 19
90402 DIA 2
95227 STK 0
91932 ALZ 2
92336 PNF 2
94923 HTD 3
95215 PNF 7
93638 CAN 56
95835 STK 5
96050 HYP 0
95641 HOM 0
92154 STK 26
95709 PNF 1
91106 ALZ 4
91403 NEP 0
95004 LIV 1
94533 STK 50
95391 SUI 0
90029 NEP 0
92833 DIA 14
95642 STK 14
91910 CLD 39
94027 DIA 2
95138 CAN 11
93208 HOM 0
91737 LIV 0
92014 STK 2
95482 NEP 11
95817 SUI 2
92801 INJ 18
92625 CAN 25
92129 STK 11
92276 INJ 2
91792 DIA 1
93313 STK 9
92337 NEP 0
94560 LIV 3
92313 HTD 27
92832 CAN 24
90280 HTD 104
92339 CAN 0
95257 ALZ 1
93312 HOM 0
95661 NEP 0
94801 OTH 37
91803 DIA 9
92415 CAN 1
91351 CAN 47
95310 HTD 4
90650 PNF 24
95031 ALZ 0
92633 CLD 0
95629 HYP 0
94710 SUI 0
95678 CLD 16
94542 INJ 2
92203 OTH 21
95363 CLD 11
93206 HOM 0
92617 INJ 0
95691 NEP 4
92230 INJ 0
95054 CAN 24
93255 HOM 0
90069 PNF 2
93454 HYP 1
93514 CLD 6
91801 DIA 19
92539 OTH 3
96134 ALZ 0
95326 DIA 0
92107 INJ 13
91377 SUI 1
93601 NEP 1
92663 HOM 0
92283 STK 0
95459 OTH 3
96002 HYP 1
95240 OTH 53
94061 DIA 7
90015 HOM 0
91741 HTD 49
95427 OTH 3
91316 PNF 12
95959 DIA 3
93021 NEP 0
92276 ALZ 1
95116 HOM 0
94305 ALZ 2
91206 HTD 70
95249 LIV 1
92055 ALZ 0
93060 HYP 5
93405 ALZ 3
90621 OTH 29
93235 INJ 0
93955 SUI 5
90270 NEP 0
95650 PNF 0
94404 CAN 47
94945 NEP 0
96008 HOM 0
93728 HYP 0
91311 NEP 3
91916 LIV 1
92865 DIA 5
90032 ALZ 1
96024 HOM 0
95033 HTD 11
95426 ALZ 1
93283 OTH 5
92508 CLD 8
92308 OTH 65
90248 ALZ 0
96039 DIA 1
92201 HOM 0
95542 HTD 8
95937 HYP 0
92844 CAN 28
95957 SUI 1
93309 ALZ 4
95136 NEP 0
95386 CLD 1
96137 LIV 0
94973 LIV 0
91768 HOM 0
95673 INJ 8
91733 HOM 0
93001 DIA 8
92555 LIV 3
94520 SUI 7
94561 CAN 34
95746 INJ 6
95901 STK 35
95134 INJ 1
92404 CAN 78
93924 NEP 0
95531 LIV 1
90603 STK 11
93619 INJ 7
92583 CAN 61
95497 HOM 0
95386 LIV 0
96039 STK 0
94108 CAN 34
92119 DIA 4
95453 PNF 7
92117 OTH 67
91362 DIA 7
96150 SUI 3
95589 PNF 1
93108 NEP 0
92112 NEP 0
92019 CLD 23
93657 INJ 14
92242 NEP 0
95121 PNF 7
90746 CLD 4
92070 LIV 0
93550 HTD 80
94086 HOM 2
91104 HYP 0
94929 HTD 2
95536 ALZ 0
93601 CLD 1
95346 CLD 0
95315 HOM 0
92104 LIV 7
92532 NEP 0
93301 HYP 2
95464 HOM 0
93721 HYP 6
95307 CAN 62
95062 LIV 3
95329 HYP 0
90746 SUI 0
95421 DIA 0
95832 DIA 0
90716 CLD 0
95673 CLD 10
92567 HTD 22
90047 PNF 15
94597 CAN 37
91906 HOM 0
92321 CLD 1
95462 CLD 0
91739 INJ 4
93109 HYP 1
93432 HYP 0
92333 DIA 0
95825 PNF 14
90024 HOM 0
95653 CLD 0
94708 HTD 20
90041 INJ 9
91343 STK 11
95249 STK 11
94551 HTD 27
94804 HYP 5
92020 CLD 33
92123 ALZ 10
92585 HTD 23
90807 HTD 130
94956 INJ 0
95503 ALZ 4
95713 LIV 2
96158 CLD 0
92394 CAN 17
94132 STK 22
95573 LIV 1
90017 NEP 3
92347 SUI 1
95563 STK 0
92203 OTH 27
93433 DIA 2
93901 ALZ 3
94402 NEP 0
92879 CAN 38
95249 HYP 0
92530 NEP 0
94704 PNF 2
92236 HYP 1
95957 HYP 0
93908 CLD 3
94567 HTD 1
94107 HYP 1
95458 CLD 6
95660 PNF 7
95131 CLD 2
91754 HTD 75
95405 INJ 3
90274 NEP 1
96037 CLD 1
92571 STK 11
90502 SUI 0
95834 CAN 8
92064 OTH 70
94583 DIA 3
93292 PNF 4
90240 ALZ 7
94552 HTD 14
91754 HTD 81
93292 ALZ 1
95988 HYP 0
92587 HOM 0
91906 HYP 0
93422 LIV 3
91775 HYP 2
95971 PNF 5
92373 HTD 107
92391 PNF 0
92843 HYP 2
95603 STK 37
94545 NEP 4
91203 HTD 20
95337 HYP 1
91040 HYP 2
92260 CAN 91
92880 INJ 4
92254 SUI 0
92373 CLD 28
95567 DIA 2
94548 PNF 0
90262 LIV 6
92101 INJ 16
91950 ALZ 7
95684 SUI 1
94044 NEP 0
92704 INJ 9
95202 SUI 0
94956 LIV 1
90043 CLD 17
93227 HOM 0
95932 CAN 11
91935 ALZ 1
95828 CLD 23
95246 HYP 0
93003 SUI 17
94511 INJ 4
92845 LIV 4
93265 CAN 11
91790 LIV 8
92567 CLD 6
92553 OTH 63
96021 HTD 36
95948 OTH 20
90606 STK 19
93003 NEP 4
93501 DIA 0
95664 INJ 2
94134 SUI 4
90007 LIV 4
93625 CLD 2
92661 DIA 0
93654 CAN 42
91024 OTH 19
93221 CAN 24
90035 INJ 6
95054 NEP 0
92242 INJ 0
94923 CAN 4
94086 INJ 6
95246 NEP 0
92679 OTH 5
94710 NEP 0
93265 CLD 2
94519 PNF 8
95435 OTH 2
95018 HTD 8
94038 DIA 2
96137 CLD 3
93004 HYP 5
93620 ALZ 3
91754 DIA 12
95666 INJ 5
94080 CAN 127
93263 HYP 1
90716 INJ 4
91306 DIA 7
92506 HTD 93
95658 HYP 0
92029 LIV 1
95987 HTD 12
93535 HTD 128
93111 INJ 5
91205 STK 27
92021 DIA 17
93458 DIA 7
94132 INJ 1
91740 HYP 5
93940 CLD 12
93266 NEP 0
90056 HOM 0
95694 HYP 1
92230 STK 3
93615 STK 1
93710 PNF 5
94806 STK 22
95134 CAN 10
95014 HOM 0
92691 HYP 0
96020 OTH 7
92503 HTD 114
90290 INJ 1
95828 SUI 5
90710 HOM 3
93242 ALZ 0
92551 ALZ 1
95203 SUI 2
90039 HTD 50
95843 LIV 4
91316 INJ 12
92865 STK 9
96137 HYP 0
92106 NEP 0
93105 NEP 0
92626 CAN 59
95689 ALZ 0
94559 STK 14
95315 LIV 2
93023 PNF 10
92702 OTH 1
93932 PNF 0
95368 CAN 12
95441 LIV 0
94556 DIA 1
93461 CAN 3
92345 OTH 114
94028 PNF 2
92019 PNF 7
91767 INJ 12
91916 ALZ 0
94564 HOM 3
92404 DIA 26
92284 CAN 63
90710 DIA 5
95020 HYP 2
91768 SUI 0
90063 HOM 0
93267 CLD 4
93518 LIV 0
96028 SUI 0
95605 CLD 7
91324 INJ 6
95821 STK 26
92243 ALZ 3
93427 CAN 10
90660 OTH 64
92585 NEP 0
91367 LIV 2
95212 CLD 2
95553 HYP 0
93311 PNF 4
92037 DIA 5
92121 OTH 1
92805 HTD 75
95742 INJ 1
95838 HTD 69
93239 DIA 0
94904 STK 11
94601 NEP 0
93907 OTH 25
94591 HYP 4
94022 ALZ 9
90621 DIA 1
95975 LIV 0
92405 DIA 8
92107 STK 9
92410 PNF 3
95457 LIV 1
92251 SUI 0
95210 LIV 5
95713 CLD 4
95319 HYP 0
92259 SUI 0
95469 HOM 0
92117 SUI 4
93669 INJ 0
92680 PNF 2
95914 INJ 2
94949 HTD 19
90046 OTH 55
90010 HTD 5
94538 CAN 75
95460 SUI 0
92397 HYP 0
92621 SUI 0
95023 NEP 0
95116 PNF 6
92807 SUI 1
94588 HYP 0
94965 INJ 4
94104 LIV 0
96161 ALZ 0
95955 ALZ 0
91201 HOM 0
90502 NEP 2
93552 INJ 10
92805 HYP 5
91803 NEP 4
90814 CAN 26
92368 OTH 1
94801 STK 10
95549 NEP 0
93234 NEP 0
95428 HYP 0
93907 CAN 29
96069 CAN 6
92604 HYP 2
95428 INJ 1
95975 LIV 0
95367 INJ 6
93235 LIV 0
93268 DIA 8
92405 LIV 5
95959 DIA 1
95111 SUI 6
94941 STK 17
92309 HTD 2
95313 INJ 0
92590 STK 0
94956 LIV 0
95424 HYP 0
93710 CLD 10
90815 PNF 19
95689 DIA 1
95204 OTH 56
92067 PNF 0
92127 HOM 0
93950 PNF 2
91744 HTD 90
92370 HTD 2
95551 ALZ 0
95747 DIA 5
91760 OTH 0
95338 NEP 0
94619 INJ 6
93036 LIV 3
90716 HYP 0
95361 ALZ 5
95112 OTH 53
92879 HTD 58
92832 INJ 5
92346 STK 20
92551 HYP 1
95709 STK 1
94061 INJ 8
96022 PNF 3
95690 OTH 2
92603 HTD 13
90804 OTH 40
92411 CLD 15
94548 DIA 0
94568 SUI 2
95456 HOM 1
93534 CAN 64
95939 INJ 0
93261 SUI 1
95490 INJ 3
92356 INJ 3
90292 STK 4
95233 DIA 0
94568 SUI 2
95469 STK 2
95212 HOM 0
93250 OTH 8
93258 HTD 3
95525 HOM 0
95983 DIA 0
92129 HOM 0
95562 DIA 2
93422 OTH 34
95451 LIV 3
93518 OTH 4
95468 INJ 1
93021 INJ 3
94535 HTD 2
96145 HOM 0
94947 DIA 0
96055 OTH 9
93452 CLD 0
93223 HYP 1
95368 DIA 0
95660 HYP 0
94521 HTD 79
95554 PNF 0
92026 STK 34
93223 STK 4
90744 INJ 15
95135 DIA 0
91502 HTD 24
94511 DIA 1
93737 INJ 1
95829 HOM 0
96017 PNF 0
92823 INJ 0
92506 CLD 14
93305 PNF 7
94520 NEP 1
92584 CLD 8
94591 SUI 6
93313 CAN 39
90039 HTD 46
93241 HOM 0
92549 PNF 0
95310 ALZ 0
96041 HYP 0
95004 HTD 5
92632 OTH 2
94595 NEP 0
91906 HOM 0
92007 CAN 16
94122 CLD 13
93030 NEP 0
92252 SUI 1
93703 STK 29
92649 SUI 5
91011 SUI 1
90064 ALZ 9
95503 CLD 24
92882 PNF 11
93004 PNF 8
92365 STK 1
91702 HOM 1
94925 OTH 20
94061 DIA 12
95209 OTH 79
93261 HTD 0
95629 ALZ 0
95416 CAN 0
91007 HTD 80
93405 STK 4
93505 HYP 1
95982 SUI 2
93426 HOM 0
95605 INJ 5
96097 DIA 4
96020 OTH 2
93546 HTD 7
95468 LIV 0
95215 ALZ 8
93063 LIV 3
95558 DIA 0
95681 ALZ 0
94949 HOM 0
95630 HOM 4
94305 STK 0
93675 STK 0
93035 DIA 6
95548 OTH 2
96142 STK 0
90274 HTD 49
95673 CLD 12
92372 INJ 1
93526 STK 1
90501 HTD 70
91913 HTD 20
92823 INJ 0
96094 CAN 9
92802 HYP 1
90245 NEP 2
93225 INJ 2
92249 DIA 1
92003 HYP 0
93535 LIV 4
92844 SUI 0
95328 HYP 0
93065 HYP 3
95240 HYP 3
95329 CAN 7
95842 CLD 11
93301 STK 7
95129 HOM 0
95445 NEP 0
94534 HYP 2
92635 NEP 0
92549 CAN 4
94114 INJ 7
92320 CLD 9
92861 HYP 0
96143 DIA 0
94925 HYP 0
93239 HOM 0
94022 INJ 4
92059 LIV 0
91101 OTH 17
96028 CAN 2
95655 OTH 0
95330 CLD 3
94038 HOM 0
92055 NEP 0
93247 HYP 2
95492 STK 11
93292 NEP 0
92210 LIV 1
94706 HTD 34
92805 CLD 9
94539 PNF 4
95682 OTH 42
92651 NEP 0
95062 CLD 21
90039 DIA 3
95969 INJ 16
90745 HOM 0
92078 STK 14
92683 DIA 19
95459 PNF 0
91331 HTD 119
94541 HOM 6
92691 LIV 1
94565 DIA 13
